62,35,9.9
139,105,9.9
122,147,9.9
165,64,9.9
17,83,9.9
17,97,9.9
162,115,0
166,172,9.9
192,145,9.9
67,195,9.9
30,160,0
5,0,0
151,96,9.9
87,168,9.9
62,189,9.9
128,125,0
141,57,0
107,94,9.9
50,82,0
2,187,0
128,84,0
125,108,0
189,63,0
105,95,9.9
71,165,9.9
4,127,0
163,6,9.9
27,21,0
68,85,9.9
52,143,9.9
133,89,0
50,11,9.9
16,113,0
34,166,0
139,181,9.9
42,158,9.9
75,104,0
95,147,0
176,172,9.9
176,63,9.9
65,114,0
149,65,9.9
72,151,0
101,118,0
103,144,9.9
79,200,0
127,165,0
64,45,0
78,118,9.9
179,6,9.9
82,92,9.9
157,126,0
90,67,0
26,39,9.9
120,111,9.9
90,113,9.9
166,9,0
88,168,9.9
195,147,9.9
26,50,0
9,119,0
136,9,9.9
165,97,0
11,81,0
178,190,0
0,172,0
53,11,0
35,137,0
149,134,9.9
126,58,9.9
106,107,9.9
3,89,0
105,40,9.9
93,75,9.9
157,60,0
134,190,0
120,55,9.9
56,7,9.9
154,109,9.9
81,36,9.9
138,141,0
175,194,0
121,138,9.9
77,136,0
39,3,9.9
79,17,0
44,108,9.9
118,98,0
4,170,9.9
90,74,0
193,114,9.9
170,8,9.9
159,120,9.9
163,125,9.9
165,168,0
143,53,0
0,93,9.9
191,161,9.9
189,7,9.9
99,14,0
132,103,9.9
117,162,9.9
78,89,9.9
77,12,9.9
5,140,0
90,7,9.9
139,73,0
188,163,9.9
117,61,9.9
174,180,9.9
117,119,9.9
82,73,0
25,19,0
16,114,0
184,133,9.9
177,166,0
120,0,9.9
153,162,9.9
20,154,0
21,34,9.9
170,80,0
137,198,9.9
61,79,9.9
119,150,0
131,34,0
13,94,9.9
4,29,9.9
52,32,9.9
52,96,0
174,175,0
186,72,0
107,48,0
128,3,9.9
172,98,9.9
107,156,0
57,68,9.9
40,77,9.9
58,5,0
114,116,0
117,57,9.9
126,31,0
156,65,0
173,90,0
91,28,9.9
33,142,0
58,191,9.9
54,2,0
175,99,0
138,149,9.9
72,16,9.9
145,79,0
145,58,0
26,10,9.9
102,30,0
167,71,0
65,167,9.9
123,114,9.9
154,106,9.9
31,92,9.9
22,148,9.9
158,170,9.9
12,46,9.9
78,61,0
93,135,0
197,82,0
157,161,0
91,95,9.9
168,60,9.9
125,191,9.9
137,155,0
17,185,0
131,49,9.9
98,138,0
114,30,9.9
10,67,9.9
175,113,9.9
85,96,9.9
12,13,9.9
25,134,0
97,14,0
95,72,9.9
167,16,9.9
134,74,9.9
31,99,9.9
198,141,9.9
119,124,9.9
68,63,9.9
95,2,9.9
197,185,0
180,148,0
0,47,9.9
136,187,9.9
195,93,9.9
101,14,9.9
2,61,0
189,50,0
23,86,0
14,162,9.9
108,141,9.9
59,62,9.9
182,43,9.9
53,70,9.9
17,135,9.9
123,198,0
196,67,0
67,33,0
154,32,0
5,87,9.9
63,126,0
43,22,9.9
64,92,9.9
181,127,9.9
62,120,9.9
164,70,9.9
42,137,0
99,22,9.9
145,129,0
42,64,9.9
12,145,0
61,40,0
106,122,0
168,114,9.9
96,163,9.9
140,69,9.9
155,40,9.9
92,30,0
143,62,9.9
179,54,9.9
46,81,0
125,179,0
199,51,9.9
14,141,0
15,131,9.9
178,94,9.9
130,35,0
40,179,0
150,142,9.9
182,29,9.9
185,54,9.9
69,15,9.9
45,152,0
181,198,0
116,173,9.9
168,155,9.9
68,138,9.9
47,185,0
114,56,9.9
16,104,9.9
46,152,9.9
175,108,0
166,49,9.9
139,41,0
189,167,0
184,181,9.9
